host.id,tree.id,xcoord,tips,reads,subgraphs,clades,overall.rtt,largest.rtt,max.branch.length,max.pat.distance,global.mean.pat.distance,subgraph.mean.pat.distance,normalised.overall.rtt,normalised.largest.rtt,normalised.max.branch.length,normalised.max.pat.distance,normalised.global.mean.pat.distance,normalised.subgraph.mean.pat.distance,prop.gp.1,prop.gp.2,prop.gp.3
contaminee,InWindow_6000_to_6299,6149.5,14,15,1,1,0.013768717056061426,0.013768717056061426,0.014133273469879228,0.04923666549069818,0.02202254864108925,0.02202254864108925,0.013768717056061426,0.013768717056061426,0.014133273469879228,0.04923666549069818,0.02202254864108925,0.02202254864108925,1,0,0
donor,InWindow_6000_to_6299,6149.5,19,19,1,12,0.020376484348989584,0.020376484348989584,0.01371082228109922,0.0747670555234549,0.033477573205316385,0.033477573205316385,0.020376484348989584,0.020376484348989584,0.01371082228109922,0.0747670555234549,0.033477573205316385,0.033477573205316385,1,0,0
dual,InWindow_6000_to_6299,6149.5,36,39,2,2,0.10089057756241517,0.03178778137849168,0.1571436355948577,0.2514193704017893,0.11819195601107535,0.02773941101603715,0.10089057756241517,0.03178778137849168,0.1571436355948577,0.2514193704017893,0.11819195601107535,0.02773941101603715,0.6410256410256411,0.358974358974359,0
recipient,InWindow_6000_to_6299,6149.5,53,55,2,2,0.03617061790660601,0.03345431679607142,0.030992373562557643,0.11920000313758963,0.04803339350724998,0.04847079234518841,0.03617061790660601,0.03345431679607142,0.030992373562557643,0.11920000313758963,0.04803339350724998,0.04847079234518841,0.9818181818181818,0.01818181818181818,0
single,InWindow_6000_to_6299,6149.5,24,26,1,1,0.015169663558394077,0.015169663558394077,0.017301561633908613,0.04811226838231005,0.023556620415733438,0.023556620415733438,0.015169663558394077,0.015169663558394077,0.017301561633908613,0.04811226838231005,0.023556620415733438,0.023556620415733438,1,0,0
contaminator,InWindow_7000_to_7299,7149.5,10,11,1,1,0.03780888279322058,0.03780888279322058,0.03380799738177968,0.05046462895443354,0.024366431717469605,0.024366431717469605,0.03780888279322058,0.03780888279322058,0.03380799738177968,0.05046462895443354,0.024366431717469605,0.024366431717469605,1,0,0
contaminee,InWindow_7000_to_7299,7149.5,30,33,1,1,0.04708622305020003,0.04708622305020003,0.021168896792915056,0.0849538623055414,0.03930183683760258,0.03930183683760258,0.04708622305020003,0.04708622305020003,0.021168896792915056,0.0849538623055414,0.03930183683760258,0.03930183683760258,1,0,0
donor,InWindow_7000_to_7299,7149.5,69,72,2,39,0.05238523906633229,0.05216002526340538,0.027749389582947044,0.1407544412848379,0.056534546010604744,0.05648472582267052,0.05238523906633229,0.05216002526340538,0.027749389582947044,0.1407544412848379,0.056534546010604744,0.05648472582267052,0.9861111111111112,0.013888888888888888,0
dual,InWindow_7000_to_7299,7149.5,44,47,2,2,0.13647695449242436,0.03347047262854479,0.21505255746348292,0.3231448184631304,0.14192768435995134,0.04961587642346443,0.13647695449242436,0.03347047262854479,0.21505255746348292,0.3231448184631304,0.14192768435995134,0.04961587642346443,0.7021276595744681,0.2978723404255319,0
recipient,InWindow_7000_to_7299,7149.5,71,77,1,3,0.06326061446645928,0.06326061446645928,0.05283665259571565,0.22662975390301449,0.10238993284134015,0.10238993284134015,0.06326061446645928,0.06326061446645928,0.05283665259571565,0.22662975390301449,0.10238993284134015,0.10238993284134015,1,0,0
single,InWindow_7000_to_7299,7149.5,48,50,1,1,0.04770532661113898,0.04770532661113898,0.027550082921002635,0.09903470810599319,0.04183519810580595,0.04183519810580595,0.04770532661113898,0.04770532661113898,0.027550082921002635,0.09903470810599319,0.04183519810580595,0.04183519810580595,1,0,0
contaminator,InWindow_8000_to_8299,8149.5,13,14,1,2,0.016086423999883644,0.016086423999883644,0.027846405449399994,0.04498693412914807,0.02025185134610247,0.02025185134610247,0.016086423999883644,0.016086423999883644,0.027846405449399994,0.04498693412914807,0.02025185134610247,0.02025185134610247,1,0,0
contaminee,InWindow_8000_to_8299,8149.5,31,33,2,2,0.16286491151067078,0.028766753619704037,0.1826747393538089,0.2513871774113814,0.04905654724606434,0.03781171876860296,0.16286491151067078,0.028766753619704037,0.1826747393538089,0.2513871774113814,0.04905654724606434,0.03781171876860296,0.9696969696969697,0.030303030303030304,0
donor,InWindow_8000_to_8299,8149.5,26,26,1,12,0.02826619023717391,0.02826619023717391,0.03116345641256611,0.09264803971126306,0.04629492117766698,0.04629492117766698,0.02826619023717391,0.02826619023717391,0.03116345641256611,0.09264803971126306,0.04629492117766698,0.04629492117766698,1,0,0
dual,InWindow_8000_to_8299,8149.5,38,39,2,2,0.07230798866915442,0.020819892818211568,0.1331573418239308,0.2340723922356707,0.08433448009179337,0.03257921881234802,0.07230798866915442,0.020819892818211568,0.1331573418239308,0.2340723922356707,0.08433448009179337,0.03257921881234802,0.7692307692307693,0.23076923076923078,0
recipient,InWindow_8000_to_8299,8149.5,29,29,2,2,0.04721257134875109,0.03866583782454325,0.02731658029913493,0.10814617426308365,0.04091211957723718,0.04032044703500268,0.04721257134875109,0.03866583782454325,0.02731658029913493,0.10814617426308365,0.04091211957723718,0.04032044703500268,0.9655172413793104,0.034482758620689655,0
single,InWindow_8000_to_8299,8149.5,10,10,1,1,0.018893247294352336,0.018893247294352336,0.013830900339591742,0.04828626892353566,0.024584457129918327,0.024584457129918327,0.018893247294352336,0.018893247294352336,0.013830900339591742,0.04828626892353566,0.024584457129918327,0.024584457129918327,1,0,0
